epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.276,1.15951,3.69369,1.27324,0.152,0.23699,0.0642,0.04426,1.03465,3.45047,1.18817,0.000158266,0.000158266,0.000158266
2,438.083,1.13868,3.12672,1.24148,0.17196,0.26286,0.09887,0.06531,1.08756,3.33823,1.18367,0.000310657,0.000310657,0.000310657
3,646.22,1.15637,2.89266,1.24045,0.20419,0.26247,0.13214,0.09222,1.04582,2.75737,1.17963,0.000456766,0.000456766,0.000456766
4,850.692,1.14457,2.70335,1.23406,0.28904,0.27107,0.16639,0.11298,1.07277,2.57738,1.1788,0.000447726,0.000447726,0.000447726
5,1055.48,1.11354,2.54338,1.22033,0.23181,0.32012,0.1868,0.13222,1.03172,2.42142,1.16225,0.000438301,0.000438301,0.000438301
6,1260.89,1.08227,2.41841,1.20066,0.29712,0.34495,0.20882,0.14813,0.97838,2.41924,1.14374,0.000428876,0.000428876,0.000428876
7,1467.83,1.0722,2.33862,1.19429,0.25762,0.31656,0.22988,0.16175,0.9855,2.28072,1.12504,0.000419451,0.000419451,0.000419451
8,1671.98,1.04585,2.25454,1.17972,0.29692,0.37469,0.25258,0.17903,0.96583,2.20144,1.1348,0.000410026,0.000410026,0.000410026
9,1876.75,1.03554,2.19062,1.1757,0.29216,0.35573,0.28206,0.20373,0.95522,2.09046,1.10999,0.000400602,0.000400602,0.000400602
10,2080.87,1.02562,2.14509,1.16405,0.34385,0.35707,0.30072,0.21928,0.91344,1.99064,1.09956,0.000391177,0.000391177,0.000391177
11,2283.07,1.00334,2.0802,1.15911,0.36933,0.36289,0.30571,0.22682,0.92251,2.03574,1.12385,0.000381752,0.000381752,0.000381752
12,2492.45,0.994,2.02838,1.14613,0.41508,0.3683,0.33089,0.24405,0.89558,1.92107,1.08809,0.000372327,0.000372327,0.000372327
13,2699.1,0.98323,1.98418,1.14242,0.34284,0.39814,0.35434,0.26306,0.92631,1.89836,1.10827,0.000362902,0.000362902,0.000362902
14,2902.91,0.986,1.96701,1.14006,0.35766,0.39777,0.36204,0.27179,0.88862,1.91074,1.08798,0.000353478,0.000353478,0.000353478
15,3108.73,0.96389,1.90168,1.13654,0.40865,0.35953,0.3492,0.26163,0.8877,1.90996,1.08804,0.000344053,0.000344053,0.000344053
16,3315.87,0.9527,1.87639,1.12634,0.44265,0.40361,0.39463,0.29725,0.88252,1.79546,1.0835,0.000334628,0.000334628,0.000334628
17,3522.23,0.94518,1.81124,1.11906,0.38248,0.43447,0.40482,0.30454,0.87647,1.77372,1.07573,0.000325203,0.000325203,0.000325203
18,3727.28,0.94001,1.7726,1.11871,0.49468,0.42763,0.41847,0.32006,0.85994,1.70338,1.07372,0.000315778,0.000315778,0.000315778
19,3932.77,0.9269,1.74192,1.11204,0.5023,0.43549,0.43667,0.33342,0.85709,1.70254,1.06317,0.000306354,0.000306354,0.000306354
20,4137.14,0.91357,1.70385,1.10393,0.49801,0.44081,0.43655,0.33594,0.84963,1.67133,1.06363,0.000296929,0.000296929,0.000296929
21,4346.09,0.90857,1.65097,1.10098,0.428,0.45335,0.44137,0.33877,0.84673,1.66052,1.06366,0.000287504,0.000287504,0.000287504
22,4555.33,0.90087,1.64387,1.09665,0.52032,0.44609,0.46837,0.35852,0.83178,1.59008,1.05119,0.000278079,0.000278079,0.000278079
23,4762.56,0.88204,1.60486,1.09169,0.55415,0.4455,0.47052,0.36088,0.82976,1.56812,1.05322,0.000268654,0.000268654,0.000268654
24,4968.06,0.88529,1.57047,1.08111,0.49792,0.47058,0.48657,0.37123,0.83092,1.55109,1.04919,0.00025923,0.00025923,0.00025923
